"order_id","tahun","kuartal","bulan","nama_bulan","customer_name","segment","category","sub_category","product_name","country","region","state","city","ship_mode","sales","quantity","discount","profit"
CA-2016-152156,2016,4,11,November,Claire Gute,Consumer,Furniture,Bookcases,Bush Somerset Collection Bookcase,United States,South,Kentucky,Henderson,Second Class,261.96,2,0.00,41.91
CA-2016-152156,2016,4,11,November,Claire Gute,Consumer,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",United States,South,Kentucky,Henderson,Second Class,731.94,3,0.00,219.58
CA-2016-138688,2016,2,6,Juni,Darrin Van Huff,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,United States,West,California,Los Angeles,Second Class,14.62,2,0.00,6.87
US-2015-108966,2015,4,10,Oktober,Sean O'Donnell,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,United States,South,Florida,Fort Lauderdale,Standard Class,957.58,5,0.45,-383.03
US-2015-108966,2015,4,10,Oktober,Sean O'Donnell,Consumer,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,United States,South,Florida,Fort Lauderdale,Standard Class,22.37,2,0.20,2.52
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",United States,West,California,Los Angeles,Standard Class,48.86,7,0.00,14.17
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Office Supplies,Art,Newell 322,United States,West,California,Los Angeles,Standard Class,7.28,4,0.00,1.97
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Technology,Phones,Mitel 5320 IP Phone VoIP phone,United States,West,California,Los Angeles,Standard Class,907.15,6,0.20,90.72
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,United States,West,California,Los Angeles,Standard Class,18.50,3,0.20,5.78
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,United States,West,California,Los Angeles,Standard Class,114.90,5,0.00,34.47
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Furniture,Tables,Chromcraft Rectangular Conference Tables,United States,West,California,Los Angeles,Standard Class,1706.18,9,0.20,85.31
CA-2014-115812,2014,2,6,Juni,Brosina Hoffman,Consumer,Technology,Phones,Konftel 250 Conference phone - Charcoal black,United States,West,California,Los Angeles,Standard Class,911.42,4,0.20,68.36
CA-2017-114412,2017,2,4,April,Andrew Allen,Consumer,Office Supplies,Paper,Xerox 1967,United States,South,North Carolina,Concord,Standard Class,15.55,3,0.20,5.44
CA-2016-161389,2016,4,12,Desember,Irene Maddox,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,United States,West,Washington,Seattle,Standard Class,407.98,3,0.20,132.59
US-2015-118983,2015,4,11,November,Harold Pawlan,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",United States,Central,Texas,Fort Worth,Standard Class,68.81,5,0.80,-123.86
